Gene stable ID,Chromosome/scaffold name,Gene name
ENSG00000227867,Y,ELOCP11
ENSG00000234110,Y,TSPY25P
ENSG00000230029,Y,CDY11P
ENSG00000223422,Y,
ENSG00000215506,Y,TPTE2P4
ENSG00000224571,Y,USP9YP13
ENSG00000231159,Y,OFD1P8Y
ENSG00000225653,Y,RNF19BPY
ENSG00000251618,Y,
ENSG00000229159,Y,TSPY23P
ENSG00000223406,Y,XKRYP5
ENSG00000234803,Y,FAM197Y2
ENSG00000228578,Y,TUBB1P2
ENSG00000233652,Y,CICP1
ENSG00000231411,Y,DUX4L31
ENSG00000187657,Y,TSPY13P
ENSG00000275280,Y,
ENSG00000270242,Y,ACTR3BP1
ENSG00000236477,Y,RPS24P1
ENSG00000243040,Y,RBMY2FP
ENSG00000232614,Y,USP9YP9
ENSG00000244231,Y,CSPG4P2Y
ENSG00000215507,Y,RBMY2DP
ENSG00000129816,Y,TTTY1B
ENSG00000237023,Y,USP9YP3
ENSG00000237997,Y,RCC2P2
ENSG00000244246,Y,ZNF736P8Y
ENSG00000223636,Y,UBE2Q2P5Y
ENSG00000239304,Y,DNM1P48
ENSG00000234950,Y,RBMY2OP
ENSG00000198692,Y,EIF1AY
ENSG00000224482,Y,HSFY4P
ENSG00000214207,Y,KRT18P10
ENSG00000237823,Y,CDY19P
ENSG00000232634,Y,NEFLP1
ENSG00000235981,Y,
ENSG00000234583,Y,TSPY19P
ENSG00000183753,Y,BPY2
ENSG00000225433,Y,MTND1P12
ENSG00000227871,Y,USP9YP12
ENSG00000232205,Y,CDY18P
ENSG00000227166,Y,STSP1
ENSG00000228379,Y,
ENSG00000235857,Y,CTBP2P1
ENSG00000223955,Y,MTND6P1
ENSG00000237195,Y,DLGAP5P1
ENSG00000237447,Y,CDC27P2
ENSG00000185700,Y,TTTY8B
ENSG00000270455,Y,PABPC1P5
ENSG00000173357,Y,
ENSG00000229940,Y,TSPY22P
ENSG00000279115,Y,
ENSG00000225256,Y,TRAPPC2P5
ENSG00000226873,Y,CDY14P
ENSG00000234385,Y,RCC2P1
ENSG00000226863,Y,SHROOM2P1
ENSG00000212855,Y,TTTY2
ENSG00000224210,Y,TRIM60P5Y
ENSG00000233156,Y,HSFY8P
ENSG00000237968,Y,
ENSG00000224408,Y,USP9YP22
ENSG00000233699,Y,TTTY18
ENSG00000286009,Y,
ENSG00000236718,Y,RBMY2QP
ENSG00000271365,Y,
ENSG00000259029,Y,DUX4L18
ENSG00000226369,Y,USP9YP11
ENSG00000224866,Y,USP9YP25
ENSG00000216844,Y,
ENSG00000235451,Y,PNPLA4P1
ENSG00000226223,Y,TSPY16P
ENSG00000224657,Y,RBMY2BP
ENSG00000231716,Y,CDY23P
ENSG00000235895,Y,
ENSG00000286201,Y,
ENSG00000223744,Y,RBMY2GP
ENSG00000172294,Y,CSPG4P4Y
ENSG00000233740,Y,CICP2
ENSG00000231540,Y,ELOCP9
ENSG00000224240,Y,CYCSP49
ENSG00000215537,Y,ZNF736P11Y
ENSG00000254488,Y,
ENSG00000230476,Y,OFD1P9Y
ENSG00000236615,Y,
ENSG00000183146,Y,PRORY
ENSG00000225840,Y,
ENSG00000229745,Y,BPY2DP
ENSG00000232914,Y,TRAPPC2P4
ENSG00000227915,Y,ELOCP16
ENSG00000225466,Y,OFD1P10Y
ENSG00000223655,Y,RAB9AP3
ENSG00000242393,Y,
ENSG00000172342,Y,CSPG4P3Y
ENSG00000223856,Y,RAB9AP2
ENSG00000225326,Y,USP9YP19
ENSG00000227204,Y,RBMY2JP
ENSG00000172297,Y,GOLGA2P3Y
ENSG00000275828,Y,CHEK2P1
ENSG00000232617,Y,
ENSG00000237269,Y,RBMY2TP
ENSG00000232424,Y,USP9YP29
ENSG00000229709,Y,USP9YP36
ENSG00000225615,Y,RBMY2UP
ENSG00000230663,Y,FAM224B
ENSG00000232522,Y,ZNF886P
ENSG00000237302,Y,OFD1P11Y
ENSG00000234131,Y,ELOCP8
ENSG00000277519,Y,OFD1P16Y
ENSG00000259247,Y,TTTY25P
ENSG00000224336,Y,FAM197Y1
ENSG00000273731,Y,
ENSG00000236951,Y,
ENSG00000235014,Y,REREP2Y
ENSG00000215583,Y,ASS1P6
ENSG00000274162,Y,SNX18P1Y
ENSG00000229208,Y,RBMY2NP
ENSG00000129845,Y,TTTY1
ENSG00000227444,Y,
ENSG00000238154,Y,USP9YP4
ENSG00000232003,Y,ZNF736P12Y
ENSG00000226918,Y,
ENSG00000229416,Y,USP9YP8
ENSG00000233774,Y,MED14P1
ENSG00000225491,Y,UBE2Q2P4Y
ENSG00000232475,Y,HSFY5P
ENSG00000228764,Y,ZNF885P
ENSG00000232226,Y,ARSFP1
ENSG00000224567,Y,
ENSG00000241200,Y,ZNF736P7Y
ENSG00000228518,Y,SURF6P1
ENSG00000227447,Y,XGY1
ENSG00000274231,Y,
ENSG00000286050,Y,
ENSG00000274502,Y,ANKRD20A6P
ENSG00000235094,Y,
ENSG00000278854,Y,
ENSG00000234888,Y,OFD1P15Y
ENSG00000231375,Y,CDY17P
ENSG00000183385,Y,TTTY8
ENSG00000232910,Y,RAB9AP1
ENSG00000236379,Y,ZNF736P4Y
ENSG00000225809,Y,RBMY2KP
ENSG00000224169,Y,HSFY6P
ENSG00000237902,Y,TSPY21P
ENSG00000288057,Y,
ENSG00000223362,Y,CDY15P
ENSG00000232419,Y,TTTY19
ENSG00000230854,Y,USP9YP20
ENSG00000232620,Y,TSPY17P
ENSG00000226906,Y,TTTY4
ENSG00000230025,Y,
ENSG00000236786,Y,TSPY15P
ENSG00000237546,Y,XKRYP6
ENSG00000237467,Y,USP9YP35
ENSG00000229551,Y,GAPDHP17
ENSG00000232924,Y,ELOCP4
ENSG00000250204,Y,TTTY23B
ENSG00000235004,Y,USP9YP30
ENSG00000224075,Y,TTTY22
ENSG00000238235,Y,TSPY11P
ENSG00000274445,Y,
ENSG00000238074,Y,TSPY9P
ENSG00000235649,Y,MXRA5Y
ENSG00000258567,Y,DUX4L16
ENSG00000236424,Y,TSPY10
ENSG00000234179,Y,MTCYBP1
ENSG00000271309,Y,
ENSG00000278585,Y,SNX3P1Y
ENSG00000229553,Y,USP9YP17
ENSG00000231423,Y,RAB9AP5
ENSG00000228240,Y,TTTY17A
ENSG00000234652,Y,AGPAT5P1
ENSG00000218410,Y,
ENSG00000243643,Y,TSPY20P
ENSG00000224989,Y,FAM41AY1
ENSG00000131548,Y,TTTY6B
ENSG00000232029,Y,ELOCP15
ENSG00000248792,Y,LINC00266-2P
ENSG00000273858,Y,
ENSG00000274196,Y,FAM197Y4
ENSG00000227830,Y,TRIM60P3Y
ENSG00000274899,Y,
ENSG00000169763,Y,PRYP3
ENSG00000227635,Y,USP9YP21
ENSG00000226529,Y,MTND1P1
ENSG00000235412,Y,TTTY4B
ENSG00000232064,Y,USP9YP33
ENSG00000172283,Y,PRYP4
ENSG00000235175,Y,RPL26P37
ENSG00000229643,Y,LINC00280
ENSG00000274837,Y,
ENSG00000216777,Y,PRRC2CP1
ENSG00000234414,Y,RBMY1A1
ENSG00000223641,Y,TTTY17C
ENSG00000225685,Y,TSPY5P
ENSG00000271123,Y,ELOCP5
ENSG00000228465,Y,TRAPPC2P10
ENSG00000231026,Y,XKRYP4
ENSG00000231141,Y,TTTY3
ENSG00000216824,Y,ZNF736P10Y
ENSG00000275352,Y,
ENSG00000276829,Y,
ENSG00000233843,Y,CYCSP48
ENSG00000258992,Y,TSPY1
ENSG00000228850,Y,CDY12P
ENSG00000283076,Y,
ENSG00000099715,Y,PCDH11Y
ENSG00000234850,Y,MTND2P3
ENSG00000225609,Y,CDY20P
ENSG00000224873,Y,CDY13P
ENSG00000229234,Y,RBMY1KP
ENSG00000226941,Y,RBMY1J
ENSG00000223698,Y,GOLGA6L11P
ENSG00000180910,Y,TTTY11
ENSG00000232585,Y,OFD1P12Y
ENSG00000229343,Y,CDY22P
ENSG00000270570,Y,
ENSG00000280969,Y,RPS4Y2
ENSG00000233619,Y,
ENSG00000279274,Y,
ENSG00000226042,Y,CDY10P
ENSG00000237563,Y,TTTY21B
ENSG00000284071,Y,
ENSG00000188399,Y,ANKRD36P1
ENSG00000223517,Y,
ENSG00000228207,Y,
ENSG00000224917,Y,
ENSG00000286187,Y,
ENSG00000242854,Y,DNM1P24
ENSG00000225117,Y,ARSDP1
ENSG00000242875,Y,RBMY1B
ENSG00000215560,Y,TTTY5
ENSG00000234399,Y,RBMY2XP
ENSG00000228411,Y,CDY4P
ENSG00000225876,Y,
ENSG00000277146,Y,
ENSG00000232695,Y,ELOCP17
ENSG00000235059,Y,
ENSG00000197092,Y,GOLGA6L16P
ENSG00000172288,Y,CDY1
ENSG00000244395,Y,RBMY1D
ENSG00000230727,Y,RBMY2WP
ENSG00000230977,Y,
ENSG00000230814,Y,USP9YP24
ENSG00000234081,Y,ELOCP10
ENSG00000184991,Y,TTTY13
ENSG00000270535,Y,ELOCP34
ENSG00000229238,Y,PPP1R12BP1
ENSG00000228257,Y,
ENSG00000229725,Y,
ENSG00000227439,Y,TTTY17B
ENSG00000235583,Y,
ENSG00000227629,Y,SLC25A15P1
ENSG00000229236,Y,TTTY10
ENSG00000229518,Y,UBE2V1P3
ENSG00000232730,Y,FAM8A4P
ENSG00000237917,Y,PARP4P1
ENSG00000183795,Y,BPY2B
ENSG00000229308,Y,
ENSG00000239533,Y,GOLGA2P2Y
ENSG00000224060,Y,ARSLP1
ENSG00000244000,Y,
ENSG00000240566,Y,
ENSG00000223637,Y,RBMY2EP
ENSG00000232764,Y,TRIM60P8Y
ENSG00000286247,Y,
ENSG00000234830,Y,FAM197Y9
ENSG00000225624,Y,TBL1YP1
ENSG00000230066,Y,FAM197Y3
ENSG00000236131,Y,MED13P1
ENSG00000270073,Y,TSPY6P
ENSG00000227949,Y,CYCSP46
ENSG00000252900,Y,RNU6-303P
ENSG00000252468,Y,RNU2-57P
ENSG00000251766,Y,RNA5SP518
ENSG00000252689,Y,
ENSG00000243980,Y,RN7SL702P
ENSG00000252315,Y,RNA5SP520
ENSG00000252012,Y,RNA5SP521
ENSG00000273966,Y,
ENSG00000252173,Y,RNU6-109P
ENSG00000251705,Y,RNA5-8SP6
ENSG00000251917,Y,RNU1-86P
ENSG00000252289,Y,RNA5SP519
ENSG00000274234,Y,RN7SL818P
ENSG00000252323,Y,RNU6-184P
ENSG00000252426,Y,RNU1-107P
ENSG00000278242,Y,RN7SL725P
ENSG00000252625,Y,RNU1-40P
ENSG00000252948,Y,RNU6-1314P
ENSG00000251796,Y,SNORA70
ENSG00000252681,Y,RNU1-97P
ENSG00000242153,Y,OFD1P6Y
ENSG00000169953,Y,HSFY2
ENSG00000236429,Y,GPM6BP2
ENSG00000249501,Y,USP9YP2
ENSG00000228193,Y,ELOCP14
ENSG00000248573,Y,PRYP6
ENSG00000230904,Y,XKRYP2
ENSG00000238135,Y,USP9YP10
ENSG00000224151,Y,USP9YP28
ENSG00000251970,Y,RNU1-41P
ENSG00000238088,Y,OFD1P7Y
ENSG00000217179,Y,MTCYBP2
ENSG00000217896,Y,ZNF839P1
ENSG00000185275,Y,CD24P4
ENSG00000252766,Y,RNU6-255P
ENSG00000274282,Y,
ENSG00000234529,Y,GAPDHP19
ENSG00000238191,Y,CLUHP1
ENSG00000226353,Y,TAF9P1
ENSG00000275578,Y,
ENSG00000226449,Y,CDY5P
ENSG00000225896,Y,ELOCP36
ENSG00000224166,Y,PRYP1
ENSG00000229129,Y,ACTG1P2
ENSG00000250868,Y,XKRY
ENSG00000223555,Y,USP9YP23
ENSG00000235521,Y,USP9YP27
ENSG00000252513,Y,RNU1-128P
ENSG00000224964,Y,TRAPPC2P3
ENSG00000226011,Y,OFD1P1Y
ENSG00000225740,Y,ELOCP6
ENSG00000229138,Y,CDY6P
ENSG00000224485,Y,USP9YP7
ENSG00000226116,Y,USP9YP6
ENSG00000237558,Y,CDY7P
ENSG00000233378,Y,USP9YP34
ENSG00000237616,Y,USP9YP32
ENSG00000224033,Y,CDY8P
ENSG00000230412,Y,ELOCP12
ENSG00000226611,Y,OFD1P2Y
ENSG00000225895,Y,TRAPPC2P8
ENSG00000233120,Y,USP9YP15
ENSG00000252166,Y,RNU1-95P
ENSG00000232744,Y,USP9YP16
ENSG00000244646,Y,XKRY2
ENSG00000229465,Y,ACTG1P11
ENSG00000231311,Y,PRYP2
ENSG00000236599,Y,ELOCP26
ENSG00000232899,Y,CDY9P
ENSG00000229302,Y,TAF9P2
ENSG00000228945,Y,CLUHP2
ENSG00000233522,Y,FAM224A
ENSG00000278391,Y,
ENSG00000251953,Y,RNA5SP522
ENSG00000252667,Y,RNA5SP523
ENSG00000249726,Y,TUBB1P1
ENSG00000282909,Y,
ENSG00000226362,Y,FAM41AY2
ENSG00000225716,Y,ELOCP13
ENSG00000229406,Y,OFD1P4Y
ENSG00000227494,Y,USP9YP14
ENSG00000252209,Y,RNU1-48P
ENSG00000249634,Y,USP9YP5
ENSG00000251510,Y,
ENSG00000238067,Y,XKRYP1
ENSG00000233546,Y,PRYP5
ENSG00000230377,Y,ELOCP7
ENSG00000250951,Y,USP9YP1
ENSG00000230458,Y,GPM6BP1
ENSG00000131007,Y,TTTY9B
ENSG00000240438,Y,OFD1P5Y
ENSG00000235479,Y,RAB9AP4
ENSG00000249606,Y,TRAPPC2P7
ENSG00000176728,Y,TTTY14
ENSG00000267793,Y,
ENSG00000260197,Y,
ENSG00000288049,Y,
ENSG00000012817,Y,KDM5D
ENSG00000172468,Y,HSFY1
ENSG00000176679,Y,TGIF2LY
ENSG00000169800,Y,RBMY1F
ENSG00000182415,Y,CDY2A
ENSG00000233126,Y,ZNF736P3Y
ENSG00000227251,Y,TRIM60P9Y
ENSG00000099725,Y,PRKY
ENSG00000252633,Y,RN7SKP282
ENSG00000251996,Y,Y_RNA
ENSG00000252155,Y,RNU6-941P
ENSG00000252472,Y,RNU6-521P
ENSG00000172352,Y,CDY1B
ENSG00000224953,Y,SRIP3
ENSG00000274365,Y,
ENSG00000233634,Y,GOT2P5
ENSG00000237701,Y,ATP5PFP1
ENSG00000273906,Y,
ENSG00000232976,Y,TRIM60P10Y
ENSG00000226270,Y,ZNF736P2Y
ENSG00000227837,Y,TRIM60P11Y
ENSG00000278602,Y,
ENSG00000223978,Y,ZNF736P1Y
ENSG00000278197,Y,
ENSG00000230819,Y,ZNF736P5Y
ENSG00000185894,Y,BPY2C
ENSG00000228296,Y,TTTY4C
ENSG00000205916,Y,DAZ4
ENSG00000129873,Y,CDY2B
ENSG00000288686,Y,XGY2
ENSG00000251841,Y,RNU6-1334P
ENSG00000184895,Y,SRY
ENSG00000237659,Y,RNASEH2CP1
ENSG00000232195,Y,TOMM22P2
ENSG00000286130,Y,
ENSG00000129824,Y,RPS4Y1
ENSG00000227289,Y,HSFY3P
ENSG00000229163,Y,NAP1L1P2
ENSG00000278847,Y,
ENSG00000067646,Y,ZFY
ENSG00000233070,Y,ZFY-AS1
ENSG00000223600,Y,EEF1A1P41
ENSG00000215414,Y,PSMA6P1
ENSG00000224035,Y,SFPQP1
ENSG00000235462,Y,TAB3P1
ENSG00000223915,Y,DPPA2P1
ENSG00000067048,Y,DDX3Y
ENSG00000234059,Y,CASKP1
ENSG00000183878,Y,UTY
ENSG00000154620,Y,TMSB4Y
ENSG00000241859,Y,ANOS2P
ENSG00000129864,Y,VCY
ENSG00000187191,Y,DAZ3
ENSG00000188120,Y,DAZ1
ENSG00000205936,Y,PPP1R12BP2
ENSG00000251925,Y,SNORA70
ENSG00000286744,Y,
ENSG00000225189,Y,REREP1Y
ENSG00000230073,Y,
ENSG00000215540,Y,RBMY2CP
ENSG00000236647,Y,
ENSG00000099721,Y,AMELY
ENSG00000092377,Y,TBL1Y
ENSG00000232583,Y,GPR143P
ENSG00000205944,Y,DAZ2
ENSG00000168757,Y,TSPY2
ENSG00000197038,Y,RBMY1A3P
ENSG00000275310,Y,
ENSG00000232808,Y,TTTY20
ENSG00000233803,Y,TSPY4
ENSG00000225560,Y,FAM197Y8
ENSG00000229549,Y,TSPY8
ENSG00000228383,Y,FAM197Y7
ENSG00000286120,Y,
ENSG00000188656,Y,TSPY7P
ENSG00000237802,Y,FAM197Y6
ENSG00000286173,Y,
ENSG00000228927,Y,TSPY3
ENSG00000226555,Y,AGKP1
ENSG00000228787,Y,NLGN4Y-AS1
ENSG00000242389,Y,RBMY1E
ENSG00000165246,Y,NLGN4Y
ENSG00000215580,Y,BCORP1
ENSG00000278212,Y,
ENSG00000231535,Y,LINC00278
ENSG00000206159,Y,GYG2P1
ENSG00000131002,Y,TXLNGY
